iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
164,5.278941294e-08,3.928913772e-09,1.379156954e-09,7.741528773e-11,0.0003918032495
165,5.221585461e-08,3.917714253e-09,1.322663893e-09,7.517296804e-11,0.000386214691
166,5.16693201e-08,3.906790325e-09,1.268193069e-09,7.215639886e-11,0.0003807060049
167,5.114590414e-08,3.896126274e-09,1.216129316e-09,6.971385766e-11,0.0003753144503
168,5.063419388e-08,3.885713585e-09,1.166799454e-09,9.815611602e-11,0.0003701380382
169,5.01217151e-08,3.875545607e-09,1.120455906e-09,9.522280715e-11,0.0003650474722
170,4.961344655e-08,3.865616312e-09,1.0772675e-09,9.207941472e-11,0.0003600370704
171,4.910323096e-08,3.855919921e-09,1.03732714e-09,8.876946081e-11,0.0003551029185
172,4.856249573e-08,3.846471375e-09,1.000630658e-09,8.438329722e-11,0.0003502421017
173,4.801895379e-08,3.837265212e-09,9.670961588e-10,9.611956594e-11,0.000345453514
174,4.748533189e-08,3.828278848e-09,9.365954341e-10,7.96510765e-11,0.0003407362304
175,4.696069335e-08,3.81950441e-09,9.089566687e-10,8.420020777e-11,0.0003360888462
176,4.644868935e-08,3.810935861e-09,8.839817505e-10,9.27644717e-11,0.0003315100868
177,4.594091183e-08,3.802567796e-09,8.614592228e-10,9.702495049e-11,0.0003269984737
178,4.53844511e-08,3.794414571e-09,9.840425042e-09,8.498542802e-11,0.0003225547984
179,4.488649308e-08,3.786529977e-09,9.549088548e-09,8.076114035e-11,0.0003181827937
180,4.440078543e-08,3.778827072e-09,9.280164527e-09,8.475058118e-11,0.0003138616863
181,4.392475403e-08,3.771304036e-09,9.032881228e-09,8.709893059e-11,0.0003095993448
182,4.346225904e-08,3.763957109e-09,8.806358748e-09,8.86403904e-11,0.0003054000419
183,4.30037266e-08,3.756781926e-09,8.599621712e-09,9.004880236e-11,0.0003012644172
184,4.253629492e-08,3.749773981e-09,8.411661343e-09,9.099132085e-11,0.0002971899522
185,4.206555797e-08,3.742994213e-09,8.241331836e-09,9.202833789e-11,0.0002931730658
186,4.161517625e-08,3.736420951e-09,8.087439426e-09,9.336087103e-11,0.0002892146314
187,4.117139518e-08,3.730012576e-09,7.948797688e-09,9.376880866e-11,0.0002853149677
188,4.073472292e-08,3.723756957e-09,7.824216229e-09,9.58133924e-11,0.0002814727433
189,4.030378343e-08,3.717647395e-09,7.712519413e-09,9.700273534e-11,0.0002776867048
190,3.98787303e-08,3.711679173e-09,7.61256687e-09,9.456959582e-11,0.000273955808
191,3.9373384e-08,3.705848393e-09,7.52334543e-09,8.156513573e-11,0.000270278874
192,3.89287368e-08,3.700316061e-09,7.443687806e-09,9.637668804e-11,0.000266645607
193,3.849066683e-08,3.69490523e-09,7.372676084e-09,7.383019429e-11,0.0002630644524
194,3.807219203e-08,3.689618869e-09,7.309448449e-09,7.620749903e-11,0.0002595360509
195,3.7671611e-08,3.684455742e-09,7.253222562e-09,7.819880831e-11,0.0002560592617
196,3.729388763e-08,3.679412814e-09,7.203305973e-09,8.007102906e-11,0.0002526329577
197,3.69139605e-08,3.674486648e-09,7.159099815e-09,8.187827528e-11,0.0002492561865
198,3.653559061e-08,3.669673787e-09,7.120098994e-09,8.362585028e-11,0.0002459280999
199,3.61324329e-08,3.66496088e-09,7.085894426e-09,8.559134511e-11,0.000242635246
200,3.572614949e-08,3.660345574e-09,7.056157494e-09,8.763563767e-11,0.0002393806989
201,3.53222588e-08,3.65585009e-09,7.030644214e-09,8.945549278e-11,0.000236174047
202,3.493350142e-08,3.651469464e-09,7.009189205e-09,9.112176315e-11,0.000233014898
203,3.456781493e-08,3.647189297e-09,6.99169724e-09,9.264388838e-11,0.0002299023577
204,3.418686578e-08,3.643006884e-09,6.978133628e-09,9.387788246e-11,0.0002268348547
205,3.379791732e-08,3.638954229e-09,6.968528886e-09,9.49314283e-11,0.0002238638691
206,3.343510643e-08,3.635024422e-09,6.962961493e-09,9.614507148e-11,0.0002209488027
207,3.307720079e-08,3.631188405e-09,6.961544777e-09,9.72910589e-11,0.0002180657613
208,3.272451885e-08,3.627440714e-09,6.964424798e-09,9.835037729e-11,0.0002152202517
209,3.237801079e-08,3.623777811e-09,6.971771929e-09,9.930156109e-11,0.0002124149148
210,3.203529717e-08,3.62019686e-09,6.983772893e-09,7.620525309e-11,0.0002096500567
211,3.169743946e-08,3.616695311e-09,7.000623132e-09,7.68265763e-11,0.0002069249834
212,3.136063269e-08,3.613270763e-09,7.022519572e-09,7.725080417e-11,0.0002042387131
213,3.102511955e-08,3.609920914e-09,7.049615701e-09,7.751711387e-11,0.000201590085
214,3.068300593e-08,3.606660981e-09,7.082108689e-09,7.770979508e-11,0.0001989781094
215,3.034265855e-08,3.603482245e-09,7.120195451e-09,9.988942599e-11,0.0001964021558
216,3.001265566e-08,3.60036639e-09,7.164001613e-09,9.7816386e-11,0.0001938615817
217,2.969253482e-08,3.597314806e-09,7.213639235e-09,9.423219252e-11,0.0001913557067
218,2.937763852e-08,3.594326691e-09,7.269194183e-09,8.838095015e-11,0.0001888839089
219,2.90653834e-08,3.591400559e-09,7.330721452e-09,7.925557667e-11,0.0001864456121
220,2.875404113e-08,3.588534739e-09,7.398243188e-09,8.700523716e-11,0.0001840402711
221,2.844439873e-08,3.585727538e-09,7.47174797e-09,9.231969598e-11,0.0001816673651
222,2.813690299e-08,3.582977293e-09,7.551190941e-09,8.6142565e-11,0.0001793263936
223,2.783160067e-08,3.580282383e-09,7.636494643e-09,9.230665084e-11,0.0001770168731
224,2.752870603e-08,3.577641235e-09,7.727550459e-09,8.602109287e-11,0.000174738335
225,2.722833056e-08,3.575052326e-09,7.824220568e-09,7.846310951e-11,0.0001724903228
226,2.693057189e-08,3.572514177e-09,7.926340304e-09,8.860590228e-11,0.0001702723915
227,2.663559843e-08,3.570025353e-09,8.033720831e-09,9.608843619e-11,0.0001680841054
228,2.634343855e-08,3.567584465e-09,8.146152021e-09,8.092615899e-11,0.0001659250378
229,2.60540492e-08,3.565190165e-09,8.263405438e-09,8.404854638e-11,0.0001637947701
230,2.576745021e-08,3.562841148e-09,8.385237362e-09,8.644692281e-11,0.0001616928909
231,2.548363479e-08,3.560536148e-09,8.511391756e-09,8.835386589e-11,0.0001596189959
232,2.52026852e-08,3.558273937e-09,8.641603135e-09,8.991706385e-11,0.0001575726874
233,2.492460897e-08,3.556053328e-09,8.775599274e-09,9.123251428e-11,0.000155553574
234,2.464928401e-08,3.55387317e-09,8.913103737e-09,9.236429881e-11,0.0001535612704
235,2.43766934e-08,3.551732346e-09,9.053838185e-09,9.33563237e-11,0.0001515953972
236,2.408233728e-08,3.549629776e-09,9.197030755e-09,9.469284711e-11,0.0001496554048
237,2.376672552e-08,3.547580839e-09,9.342333889e-09,9.627817012e-11,0.0001477406528
238,2.345051991e-08,3.545593063e-09,9.489990928e-09,9.676288185e-11,0.0001458509316
239,2.315558625e-08,3.543647388e-09,9.639732024e-09,9.718478354e-11,0.0001439862574
240,2.289135495e-08,3.541738408e-09,9.791303992e-09,9.768509843e-11,0.0001421462862
241,2.263080506e-08,3.539863556e-09,9.944459386e-09,9.817601857e-11,0.0001403306621
242,2.238077293e-08,3.538021326e-09,9.287321147e-10,9.871364238e-11,0.0001385383901
243,2.213668704e-08,3.536210462e-09,9.41571856e-10,9.913303834e-11,0.0001367703925
244,2.189287383e-08,3.534430212e-09,9.546397474e-10,9.955384925e-11,0.000135025702
245,2.165043405e-08,3.532679649e-09,9.679337345e-10,9.997902594e-11,0.0001333039865
246,2.14098388e-08,3.530957937e-09,9.814515471e-10,8.079511579e-11,0.0001316049198
247,2.117127557e-08,3.529264293e-09,9.951904508e-10,8.107963135e-11,0.0001299281809
248,2.093483156e-08,3.527597973e-09,1.00914704e-09,8.135004126e-11,0.0001282734545
249,2.069946516e-08,3.525957576e-09,1.023316521e-09,8.161431821e-11,0.0001266404819
250,2.046086173e-08,3.524337846e-09,1.037688919e-09,8.191806555e-11,0.0001250293602
251,2.022784344e-08,3.522743539e-09,1.052263033e-09,8.219425052e-11,0.0001234391977
252,1.999995082e-08,3.521173732e-09,1.067031461e-09,8.244360951e-11,0.0001218698305
253,1.977549264e-08,3.519627806e-09,1.081985705e-09,8.267178062e-11,0.0001203209825
254,1.955425464e-08,3.518105172e-09,1.097116163e-09,8.288444111e-11,0.0001187923422
255,1.933581754e-08,3.516605264e-09,1.112412161e-09,8.308577705e-11,0.0001172835994
256,1.911902393e-08,3.515127529e-09,1.127862014e-09,8.327831035e-11,0.0001157944551
257,1.889176242e-08,3.513671438e-09,1.143457369e-09,8.329398439e-11,0.0001143237788
258,1.867557972e-08,3.512285867e-09,1.159180529e-09,8.358491283e-11,0.000112858322
259,1.846343798e-08,3.510916123e-09,1.175017361e-09,8.399789696e-11,0.0001114109433
260,1.824747999e-08,3.509564446e-09,1.190956333e-09,8.431376286e-11,0.0001099852694
261,1.802560842e-08,3.508238911e-09,1.206988311e-09,8.451814099e-11,0.0001085810536
262,1.781049505e-08,3.506950948e-09,1.223089143e-09,8.463493149e-11,0.0001071973718
263,1.761534703e-08,3.505659463e-09,1.239244958e-09,8.458378943e-11,0.0001058334645
264,1.742672413e-08,3.504378425e-09,1.255438703e-09,8.43077335e-11,0.0001044885775
265,1.723763639e-08,3.503112346e-09,1.271653386e-09,8.386802625e-11,0.0001031620988
266,1.704883149e-08,3.501862521e-09,1.287872409e-09,8.393337354e-11,0.0001018535239
267,1.685951225e-08,3.500629172e-09,1.304079538e-09,8.447580948e-11,0.0001005624253
268,1.667041582e-08,3.499412166e-09,1.320258917e-09,8.49360908e-11,9.928843047e-05
269,1.648322199e-08,3.49821125e-09,1.336395124e-09,8.524037683e-11,9.803120721e-05
270,1.629689657e-08,3.497026136e-09,1.35247323e-09,8.546316898e-11,9.67904532e-05
271,1.611163316e-08,3.49585652e-09,1.368478855e-09,8.564354158e-11,9.556703959e-05
272,1.592771257e-08,3.494702096e-09,1.384398212e-09,8.579923225e-11,9.436847955e-05
273,1.574532617e-08,3.493562559e-09,1.400218146e-09,8.593904003e-11,9.318512085e-05
274,1.556460095e-08,3.492437607e-09,1.41592616e-09,8.606767854e-11,9.201675503e-05
275,1.538561404e-08,3.491326941e-09,1.431510439e-09,8.618803709e-11,9.086318028e-05
276,1.520841497e-08,3.490230271e-09,1.446959861e-09,8.630196284e-11,8.972420021e-05
277,1.503303146e-08,3.489147307e-09,1.462264006e-09,8.641064643e-11,8.859962301e-05
278,1.485949811e-08,3.48807777e-09,1.477413161e-09,8.651492942e-11,8.74892608e-05
279,1.468783975e-08,3.487021384e-09,1.492398313e-09,8.661547536e-11,8.639292919e-05
280,1.451800384e-08,3.485977882e-09,1.507211145e-09,8.671271962e-11,8.531044693e-05
281,1.435002339e-08,3.484947002e-09,1.521844024e-09,8.680702867e-11,8.424163568e-05
282,1.418398978e-08,3.48392849e-09,1.536289988e-09,8.689867705e-11,8.318631979e-05
283,1.401973532e-08,3.482922097e-09,1.550542728e-09,8.698786762e-11,8.214432617e-05
284,1.385724483e-08,3.481927581e-09,1.56459657e-09,8.707478333e-11,8.111548416e-05
285,1.369650249e-08,3.480944709e-09,1.578446453e-09,8.715958963e-11,8.009962545e-05
286,1.353749239e-08,3.479973251e-09,1.592087907e-09,8.724237933e-11,7.91327398e-05
